timestamp,video_id,confidence,threshold,is_abnormal
2026-02-10T20:09:13.068906,cam1,0.174783,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200908_cam1_0.175.mp4,alert_start
2026-02-10T20:09:18.674784,cam1,0.175441,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200914_cam1_0.175.mp4,alert_start
2026-02-10T20:09:24.238670,cam1,0.175227,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200920_cam1_0.175.mp4,alert_start
2026-02-10T20:09:29.828691,cam1,0.175063,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200925_cam1_0.175.mp4,alert_start
2026-02-10T20:09:59.246591,cam1,0.046588,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:04.634163,cam1,0.035896,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:09.987440,cam1,0.443213,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201005_cam1_0.443.mp4,alert_start
2026-02-10T20:10:15.392521,cam1,0.442509,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201011_cam1_0.443.mp4,alert_start
2026-02-10T20:10:20.749783,cam1,0.438171,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201016_cam1_0.438.mp4,alert_start
2026-02-10T20:10:26.172027,cam1,0.436972,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201022_cam1_0.437.mp4,alert_start
2026-02-10T20:10:31.618846,cam1,0.010721,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:36.972875,cam1,0.006954,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:42.573558,cam1,0.006945,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:48.231035,cam1,0.007038,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:53.936009,cam1,0.007082,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:10:59.290571,cam1,0.007019,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:11:04.983923,cam1,0.993495,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201100_cam1_0.993.mp4,alert_start
2026-02-10T20:11:10.651892,cam1,0.351210,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201106_cam1_0.351.mp4,alert_start
2026-02-10T20:11:16.285175,cam1,0.349436,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201112_cam1_0.349.mp4,alert_start
2026-02-10T20:11:21.997850,cam1,0.351094,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201117_cam1_0.351.mp4,alert_start
2026-02-10T20:11:27.589012,cam1,0.349955,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201123_cam1_0.350.mp4,alert_start
2026-02-10T20:11:33.250303,cam1,0.353278,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201129_cam1_0.353.mp4,alert_start
